PROCEDIMENTO,"RN
(alteração)",VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO,pagina
ABSCESSO OU HEMATOMA DE SEPTO NASAL - DRENAGEM COM OU SEM ANESTESIA GERAL,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,34
ALONGAMENTO DE COLUMELA EM Procedimento de Alta ComplexidadeIENTES COM LESÕES LABIO-PALATAIS,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,34
BIÓPSIA DE NARIZ,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,34
CAUTERIZAÇÃO DE EPISTAXE COM OU SEM MICROSCOPIA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,34
CORNETO INFERIOR - CAUTERIZAÇÃO LINEAR E/OU INFILTRAÇÃO MEDICAMENTOSA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,34
"EPISTAXE - CAUTERIZAÇÃO DA ARTÉRIA ESFENOPALATINA COM OU SEM MICROSCOPIA POR
VIDEOENDOSCOPIA",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,34
EPISTAXE - LIGADURA DAS ARTÉRIAS ETMOIDAIS,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,34
"EPISTAXE - TAMPONAMENTO ANTERO-POSTERIOR, COM OU SEM ANESTESIA GERAL",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,34
EPISTAXE - TAMPONAMENTO ANTERIOR,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,34
EXÉRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLÓGICA (TEMPO FACIAL) PIRÂMIDE NASAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,34
EXÉRESE DE TUMOR NASAL POR VIA ENDOSCOPICA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
FECHAMENTO DE FÍSTULA LIQUÓRICA TRANSNASAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
FÍSTULA LIQUÓRICA - TRATAMENTO CIRÚRGICO ENDOSCÓPICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
FRATURAS DOS OSSOS NASAIS - REDUÇÃO CIRÚRGICA E GESSO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
FRATURAS DOS OSSOS NASAIS - REDUÇÃO INCRUENTA E GESSO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
IMPERFURAÇÃO COANAL - CORREÇÃO CIRÚRGICA INTRANASAL OU TRANSPALATINA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
IMPERFURAÇÃO COANAL - CORREÇÃO CIRURGICA INTRANASAL POR VIDEOENDOSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
OZENA - TRATAMENTO CIRÚRGICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
PERFURAÇÃO DO SEPTO NASAL - CORREÇÃO CIRÚRGICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
POLIPECTOMIA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
RECONSTRUÇÃO NASAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
RESSECÇÃO DE SINÉQUIAS,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
RESSECÇÃO DE TUMORES MALIGNOS TRANSNASAIS,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
"RETIRADA DE CORPO ESTRANHO DE NARIZ, COM OU SEM ANESTESIA GERAL",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
"RETIRADA DE CORPO ESTRANHO DE NARIZ, COM OU SEM ANESTESIA GERAL POR VIDEOENDOSCOPIA",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
RINECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
RINOSSEPTOPLASTIA FUNCIONAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
SEPTOPLASTIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
TRATAMENTO CIRÚRGICO DA ATRESIA NARINÁRIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,35
TRATAMENTO CIRÚRGICO DE DEFORMIDADE NASAL CONGÊNITA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
TRATAMENTO CIRÚRGICO DO RINOFIMA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
TRATAMENTO DE DEFORMIDADE TRAUMÁTICA NASAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
TUMOR INTRANASAL - EXÉRESE POR RINOTOMIA LATERAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
TUMOR INTRANASAL - EXÉRESE POR VIA TRANSNASAL,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
TURBINECTOMIA OU TURBINOPLASTIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,NARIZ,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
ANTROSTOMIA MAXILAR INTRANASAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
"ANTROSTOMIA MAXILAR, ETMOIDECTOMIA (ABERTURA DE TSeg. OdontológicaAS AS CAVIDADES PARANASAIS)",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
ARTÉRIA MAXILAR INTERNA - LIGADURA TRANSMAXILAR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
BIOPSIA - SEIOS PARANASAIS,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
DESCOMPRESSÃO TRANSETMOIDAL DO CANAL ÓPTICO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
ETMOIDECTOMIA EXTERNA OU INTRANASAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
ETMOIDECTOMIA INTRANASAL POR VIDEOENDOSCOPIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
EXÉRESE - PÓLIPO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
EXÉRESE DE CISTO NASO-ALVEOLAR E GLOBULAR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
EXÉRESE DE TUMOR COM ABORDAGEM CRANIOFACIAL ONCOLÓGICA (TEMPO FACIAL),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
EXÉRESE DE TUMOR DE SEIOS PARANASAIS POR VIA ENDOSCOPICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
MAXILECTOMIA COM OU SEM EXENTERAÇÃO DE ÓRBITA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
PUNÇÃO MAXILAR TRANSMEÁTICA OU VIA FOSSA CANINA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,36
RESSECÇÃO DE ANGIOFIBROMA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
RESSECÇÃO DE TUMOR BENIGNO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
RESSECÇÃO DO MAXILAR SUPERIOR E RECONSTRUÇÃO À CUSTA DE RETALHOS,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
RESSECÇÃO DO MESO E INFRA-ESTRUTURA DO MAXILAR SUPERIOR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
SINUSECTOMIA FRONTAL COM RETALHO OSTEOPLÁSTICO OU VIA CORONAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
SINUSECTOMIA FRONTO-ETMOIDAL POR VIA EXTERNA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
SINUSECTOMIA MAXILAR CALDWELL-LUC,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
"SINUSECTOMIA MAXILAR OU ETMOIDAL OU ESFENOIDAL OU FRONTAL ENDOSCÓPICA OU POR MICROSCOPIA,
VIA ENDONASAL",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
SINUSECTOMIA TRANSMAXILAR - ERMIRO DE LIMA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
SINUSOTOMIA ESFENOIDAL OU FRONTAL INTRANASAL OU FRONTAL VIA EXTERNA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
TRATAMENTO CIRÚRGICO - FÍSTULA OROANTRAL OU ORONASAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,SEIOS PARANASAIS,NARIZ E SEIOS PARANASAIS,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
BIÓPSIA CIRÚRGICA DE COSTELA OU ESTERNO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
CORREÇÃO DE DEFORMIDADES DA PAREDE TORÁCICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
COSTECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
ESTERNECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
FECHAMENTO DE PLEUROSTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
MOBILIZAÇÃO DE RETALHOS MUSCULARES OU DO OMENTO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
PLUMBAGEM EXTRAFASCIAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
PUNÇÃO BIÓPSIA DE COSTELA OU ESTERNO,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,37
RECONSTRUÇÃO DA PAREDE TORÁCICA (COM OU SEM PRÓTESE),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
"RECONSTRUÇÃO DA PAREDE TORÁCICA COM RETALHOS CUTÂNEOS, MUSCULARES OU MIOCUTÂNEOS",,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
RECONSTRUÇÃO DA REGIÃO ESTERNAL COM RETALHOS MUSCULARES,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
REDUÇÃO INCRUENTA DE FRATURA LUXAÇÃO DE ESTERNO OU COSTELA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
RESSECÇÃO DE TUMOR DO DIAFRAGMA E RECONSTRUÇÃO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
RETIRADA DE CORPO ESTRANHO DA PAREDE TORÁCICA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
TORACECTOMIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
TORACOPLASTIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
TORACOTOMIA COM BIÓPSIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
TORACOTOMIA EXPLORADORA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
TORACOTOMIA PARA PROCEDIMENTOS ORTOPÉDICOS SOBRE A COLUNA VERTEBRAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
TRAÇÃO ESQUELÉTICA DO GRADIL COSTO-ESTERNAL (TRAUMATISMO),,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
TRATAMENTO CIRÚRGICO DE FRATURA LUXAÇÃO DE ESTERNO OU COSTELA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
TRATAMENTO CIRÚRGICO DA OSTEOMIELITE DE COSTELA OU ESTERNO,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
TRATAMENTO CIRÚRGICO DE FRATURAS DO GRADIL COSTAL,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,PAREDE TORÁCICA,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
BIÓPSIA INCISIONAL DE MAMA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
"BIÓPSIA PERCUTÂNEA À VACUO GUIADA POR RAIO X, ULTRASSONOGRAFIA OU RESSONÂNCIA MAGNÉTICA
(MAMOTOMIA) - COM DIRETRIZ DE UTILIZAÇÃO",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,Procedimento de Alta Complexidade,7,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
"BIÓPSIA PERCUTÂNEA DE FRAGMENTO MAMÁRIO (CORE BIOPSY) ORIENTADA POR US OU RX - AGULHA
GROSSA",,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
COLETA DE FLUXO PAPILAR DE MAMA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,38
CORREÇÃO DE GINECOMASTIA,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,39
CORREÇÃO DE INVERSÃO PAPILAR,,,,,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,39
DRENAGEM DE ABSCESSO DE MAMA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,39
DRENAGEM E/OU ASPIRAÇÃO DE SEROMA,,,,Seg. Ambulatorial,Seg. Hospitalar Com Obstetrícia,Seg. Hospitalar Sem Obstetrícia,Plano Referência,,,MAMAS,PAREDE TORÁCICA,PROCEDIMENTOS CIRÚRGICOS E INVASIVOS,39
